SF Link,Account Name,Status,Combined Activation Status,BW Plan,Monthly Spend,EC Customer,Signal,Website,City,State,Zip,Phone,Customer Type,Active Students,Billing Active (L30D)
001Rd00000HThKjIAL,Anne Arundel Headstart,Active Premium Customer,SaaS Only Activated,Premium,$69.00,Yes,Name,aaccaa.org,Edgewater,Maryland,21401,(443) 942-1483,Single-Site,24,
001PB00000LoadjYAB,Dezoah Undaa Etleh Koke Aboriginal Head Start,Active Premium Customer,SaaS Only Activated,Premium,$69.00,No,Name,,,Northwest Territories,,18676994010,Multi-Site Parent,11,
001PB00000LdIyiYAF,Redding Rancheria Head Start,Active Premium Customer,Onboarding,Inactive,$69.00,No,Name,reddingrancheria-nsn.gov,Redding,California,96001,5302258925,Single-Site,19,
001PB00000KELCMYA5,UTRGV Edcouch-Elsa Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$62.00,No,Name,eeisd.org,,,,#ERROR!,Single-Site,24,
0013u00001W4fVjAAJ,[Arlington] St. Vincent de Paul Early Head Start - Location 2,Active Premium Customer,SaaS Only Activated,Premium,$54.17,No,Name,http://www.vincentbaltimore,Baltimore,Maryland,21215,(410) 466-1383,Multi-Site Child,30,
0013u00001W4fVkAAJ,[Arundel] St. Vincent de Paul Early Head Start - Location 3,Active Premium Customer,SaaS Only Activated,Premium,$54.17,No,Name,,Brooklyn,MARYLAND,21225,14436812191,Multi-Site Child,36,
0013u00001oAIdQAAW,Sarah's Hope St. Vincent de Paul Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$54.17,No,Name,,,MARYLAND,,410-982-0845,Multi-Site Child,28,
0013u00001W1mwiAAB,St. Vincent de Paul Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$54.17,No,Name,http://www.vincentbaltimore,Baltimore,Maryland,21224,4438039657,Multi-Site Parent,22,
0013u00001ZR2V0AAL,Hall Street Center,Active Premium Customer,SaaS Only Activated,Premium,$52.00,No,Website,http://www.childrenscoalition.org/early-head-start,Monroe,Texas,71203,(318) 639-1239,Multi-Site Parent,8,
0013u00001TwcTQAAZ,[Metepenagiag] Eel Ground First Nation Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,Florenceville-Bristol,New Brunswick,E7L 2A6,(506) 251-2891,Multi-Site Parent,80,
0013u00001U8PbrAAF,[Natoaganeg] Eel Ground First Nation Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,NEW BRUNSWICK,E1V 4E6,(506) 627-4612,Multi-Site Child,75,
0013u00001U8PbuAAF,Bouctouche Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,NEW BRUNSWICK,E4S 4G3,15067432173,Multi-Site Child,29,
001Rd00000GNvxNIAT,Checotah-HWC Adventure Head Start,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,16,
0013u00001U8PbtAAF,Fort Folly Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,NEW BRUNSWICK,E4K 3V5,15063792449,Multi-Site Child,30,
001Rd00000GNvxMIAT,Hartshorne-HWC Adventure Head Start,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,8,
0013u00001nGV8PAAW,HeadStart Prep Academy,Active Premium Customer,SaaS and Billing Activated,Premium,$50.00,No,Name,,,California,,(951) 204-8181,Single-Site,19,Yes
001Rd00000ABUMrIAP,HWC-Adventure Head Start Sallisaw_EHS,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,45,
0013u00001NNQpHAAX,HWC-Adventure Head Start Stigler_EHS,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,http://childcarefind.okdhs.org/childcarefind/childcarefacilities.aspx,McAlester,Oklahoma,74501,(918)423-0265,Multi-Site Parent,15,
0013u00001U8PbvAAF,Indian Island Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,NEW BRUNSWICK,E4W 0H9,15065234371,Multi-Site Child,65,
001Rd00000GNvxLIAT,McAlester-HWC Adventure Head Start,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,7,
0013u00001U8PbsAAF,Pabineau Headstart,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,NEW BRUNSWICK,E2A 7M3,(506) 547-8005,Multi-Site Child,43,
001Rd00000GLslmIAD,Tahlequah-HWC Adventure Head Start,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,15,
001Rd00000GNvxKIAT,Westville-HWC Adventure Head Start -,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,5,
001Rd00000GNvxJIAT,Wilburton-HWC Adventure Head Start,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name,,,,,,Multi-Site Child,7,
001PB00000Tp7q1YAB,Samish Early Headstart Program,Active Premium Customer,SaaS Only Activated,Premium,$49.50,No,Name,,,,,,Multi-Site Child,19,
001PB00000OsX61YAF,Samish Longhouse Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$49.50,No,Name,samishtribe.nsn.us,Anacortes,Washington,98221,(360) 298-3366,Multi-Site Parent,59,Yes
001PB00000OggoDYAR,Arrowhead Headstart,Active Premium Customer,SaaS Only Activated,Premium,$49.00,No,Name,,Virginia,Minnesota,55792,,Single-Site,9,
001PB00000ZA9fNYAT,RCCAA Kids in Action Daycare,Active Premium Customer,Onboarding,Premium,$48.75,Yes,Website,https://www.rccaa.org/head-start,Sophia,West Virginia,25921,(304) 270-7664,Single-Site,,
001PB00000NdNFeYAN,SENDCAA HEAD START,Active Premium Customer,SaaS Only Activated,Premium,$45.25,No,Name,sendcaa.org,Gwinner,North Dakota,58040,(701) 235-8931,Multi-Site Parent,48,
001Rd00000Ews1aIAB,Nuxalk Snxaalh Daycare - Imantni Headstart,Active Premium Customer,SaaS Only Activated,Premium,$43.79,Yes,Name,acwsalcta.ca,,BC,,#ERROR!,Multi-Site Parent,13,
0013u00001JiyOBAAZ,Brazoria County Head Start,Active Premium Customer,SaaS Only Activated,Premium,$37.50,No,"Name, Website",headstartbc.org,Brazoria,Texas,77422,9798491881,Single-Site,39,
0013u00001dAtGQAA0,Catholic Charities Head Start,Active Premium Customer,SaaS Only Activated,Premium,$37.25,No,"Name, Website",http://www.ccano.org/headstart/,New Orleans,Louisiana,70113,15045292557,Multi-Site Parent,71,
001PB00000Pto0zYAB,St. John The Baptist Head Start,Active Premium Customer,SaaS Only Activated,Premium,$37.25,No,Name,,,,,,Multi-Site Child,48,
001PB00000Ptr0TYAR,St. Mary Of The Angels Head Start,Active Premium Customer,SaaS Only Activated,Premium,$37.25,No,Name,,,,,,Multi-Site Child,50,
001PB00000PtsEHYAZ,St. Paul The Apostle Head Start,Active Premium Customer,SaaS Only Activated,Premium,$37.25,No,Name,,,,,,Multi-Site Child,110,
001PB00000RHlcUYAT,Quality Care Early Learning Head Start Home Based,Active Premium Customer,Onboarding,Premium,$21.78,No,Name,,,,,,Multi-Site Child,,
001PB00000RHlcTYAT,Quality Care Early Learning Head Start Swedesboro,Active Premium Customer,SaaS Only Activated,Premium,$21.78,No,Name,,,,,,Multi-Site Child,31,
0011I0000118EgqQAE,West Milford Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$15.71,No,Name,cffr.net,Clifton,New Jersey,7031,(973) 853-2020,Multi-Site Child,25,Yes
0013u000017ZEBGAA4,[Loc 1] NKCAC Head Start -Newport,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,nkcac.org,Covington,Kentucky,41011-2479,8598356551,Multi-Site Parent,89,No
001PB00000H0YZTYA3,[Loc 5] NKCAC Head Start - Eastside Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,47,
001PB00000H0YZUYA3,[Loc 6] NKCAC Head Start - Elsmere,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,54,
001PB00000H0YZVYA3,[Loc 7] NKCAC Head Start - Falmouth,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,18,
001PB00000H0YZQYA3,[Loc2]NKCAC Head Start - Alexandria,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,20,
001PB00000H0YZRYA3,[Loc3] NKCAC Head Start - Boone County Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,89,
001PB00000L52GVYAZ,Audubon Area - Chapel Hill Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,58,Yes
0013u00001rWvdHAAS,Bardstown Head Start/Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,73,
001PB00000Is3JXYAZ,Breathitt County Head Start,Active Premium Customer,Onboarding,Premium,$0.29,No,Name,,,,,,Multi-Site Child,60,
001PB00000Nd1NFYAZ,Burnett Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,25,Yes
001PB00000Nd1NTYAZ,Cedar Grove Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Enterprise,22,
001PB00000Nd1NSYAZ,Clear Creek Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,16,Yes
001PB00000Nd1NKYAZ,Crossroads Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Enterprise,8,
001PB00000Ma1LwYAJ,Dawson Springs Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,17,Yes
001Rd0000086peLIAQ,Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,casoky.org,Horse Cave,Kentucky,42749,12705905562,Single-Site,12,Yes
0013u00001rWv2VAAS,Elizabethtown Head Start Central Kentucky Community,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,69,
001PB00000Nd1NLYAZ,Eminence Head Start & Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,17,Yes
001PB00000Nd1NHYAZ,Fairdale Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,38,Yes
001PB00000Nd1NWYAZ,Gallatin County Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,16,Yes
001PB00000PE2htYAD,Hanson Elementary Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,16,
001PB00000Nd1NEYAZ,Henry County Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Enterprise,10,Yes
0013u00001rWvdGAAS,LaRue County Head Start - Central Kentucky Community - Location 2,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,21,
0013u00001qlkVpAAI,Lebanon Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,72,
0013u00001lNB1QAAW,Lee County Head Start,Active Premium Customer,Onboarding,Premium,$0.29,No,Name,,Jackson,Kentucky,41339,(606) 464-3329,Multi-Site Parent,77,
0013u00001qlkVoAAI,Mead County Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,40,
001PB00000J8PMVYA3,New Beginnings Christian Academy,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Website,http://centralkyheadstart.org,Elizabethtown,Kentucky,42701,2709004621,Single-Site,75,Yes
0013u00001rWvdIAAS,New Haven Head Start - Central Kentucky Community - Location 4,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,16,
001PB00000Nd1NMYAZ,Newburg Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,71,Yes
001PB00000MEf8KYAT,Ohio Valley Educational Cooperative (OVEC) Head Start Program,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,ovec.org,Shelbyville,Kentucky,40065,5026473533,Multi-Site Parent,12,Yes
001PB00000Nd1NGYAZ,Old Mill Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,7,Yes
001PB00000Nd1NIYAZ,Oldham County Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,8,Yes
001PB00000Nd1NRYAZ,Owen County Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Enterprise,15,
001PB00000Nd1NOYAZ,Painted Stone Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,24,Yes
001PB00000PmZLFYA3,Pride Avenue Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,32,
001PB00000Nd1NQYAZ,PRP Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,40,Yes
0013u00001rWvdJAAS,Radcliff Head Start - Central Kentucky Community - Location 5,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,26,
001PB00000Nd1NUYAZ,Roby Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,6,Yes
001PB00000Nd1NXYAZ,Russell Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,38,No
001PB00000Ma1LtYAJ,Seven Hills Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,177,
001PB00000Nd1NNYAZ,Shelby Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,32,Yes
001PB00000Nd1NVYAZ,Smoketown Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,29,No
001PB00000Nd1NPYAZ,Spencer County Head Start/Early Head Start,Active Premium Customer,SaaS and Billing Activated,Premium,$0.29,No,Name,,,,,,Enterprise,20,Yes
0013u00001IFwdoAAD,Springfield Early Head Start/Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,www.ckcac.org,Bardstown,Kentucky,40004-9561,(502) 348-9240,Multi-Site Parent,42,
001PB00000Nd1NJYAZ,Trimble County Head Start,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Enterprise,12,
0013u00001rWvdKAAS,West Main Head Start- Central Kentucky Community - Location 6,Active Premium Customer,SaaS Only Activated,Premium,$0.29,No,Name,,,,,,Multi-Site Child,31,
001PB00000Is3JWYAZ,Wolfe County Head Start,Active Premium Customer,Onboarding,Premium,$0.29,No,Name,,,,,,Multi-Site Child,73,
0013u00001UO1Y1AAL,Early Head Start,Active Premium Customer,SaaS Only Activated,Premium,,Yes,Name,https://www.claycountychildcare.com/,Clay Center,KS,67432,785-632-2195,Multi-Site Child,62,
0013u000017YRIeAAO,Ottawa County Head Start,Active Premium Customer,SaaS Only Activated,Premium,,Yes,"Name, Website",https://www.headstartprogram.us/,Minneapolis,Kansas,67484,7853922794,Multi-Site Child,12,
0013u000017YRLhAAO,Republic County Head Start,Active Premium Customer,SaaS Only Activated,Premium,,Yes,"Name, Website",https://www.headstartprogram.us/,Belleville,Kansas,66935,(785) 527-2300,Multi-Site Child,16,
0013u000017YRITAA4,Washington County Head Start,Active Premium Customer,SaaS Only Activated,Premium,,Yes,Name,,Greenleaf,Kansas,66943,7853252261,Multi-Site Child,9,
