SF Link,Account Name,Status,Combined Activation Status,Brightwheel Plan,Monthly Spend,EC Customer,K12 Signal,Website,City,State,Zip,Phone,Customer Type,Active Students,Billing Active (L30D)
001PB00000T8V1AYAV,Plainview Extended Care,Active Premium Customer,SaaS Only Activated,Premium,$199.00,No,Website,plainview.k12.ok.us,,Oklahoma,,(580) 490-3181,Single-Site,146,
001Rd000001cNgYIAU,Glencoe Park District Children's Circle,Active Premium Customer,SaaS Only Activated,Premium,$200.00,No,Name (District),glencoeparkdistrict.com,Glencoe,IL,60022,8478353030,Single-Site,139,
001PB00000LbQHWYA3,River District,Active Premium Customer,SaaS and Billing Activated,Premium,$79.00,No,Name (District),,,,,,Multi-Site Child,135,Yes
001PB00000HYCEfYAP,El Dorado Hills Community Services District,Active Premium Customer,SaaS Only Activated,Premium,$49.00,No,Name (District),edhcsd.org,,California,,(916) 614-3218,Multi-Site Parent,135,
001Rd00000AgzirIAB,Franklin-Loomis Basin Charter,Active Premium Customer,SaaS and Billing Activated,Premium,$14.14,No,Website,http://www.loomis-usd.k12.ca.us,Loomis,California,95650,(916) 652-1800,Multi-Site Parent,131,Yes
0013u00001nE3zdAAC,Rosedale Union School District - Almondale,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,"Website, Name (District)",www.rosedale.k12.ca.us,Bakersfield,CALIFORNIA,93312,661-588-6060,Multi-Site Child,161,Yes
0013u00001nE3zeAAC,Rosedale Union School District - American,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),https://www.ruesd.net/american,Bakersfield,CALIFORNIA,93312,661-587-2277,Multi-Site Child,164,Yes
0013u00001nE3zfAAC,Rosedale Union School District - Centennial,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),,Bakersfield,CALIFORNIA,93314,661-588-6020,Multi-Site Child,131,Yes
0013u00001nE3zgAAC,Rosedale Union School District - Del Rio,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),https://www.ruesd.net/o/delrio,Bakersfield,CALIFORNIA,93314,661-588-6050,Multi-Site Child,120,Yes
0013u00001nE44rAAC,Rosedale Union School District - Independence,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,"Website, Name (District)",www.rosedale.k12.ca.us,Bakersfield,CALIFORNIA,93312,661-588-6011,Multi-Site Child,131,Yes
0013u00001nE44tAAC,Rosedale Union School District - Patriot,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),ruesd.net,Bakersfield,CALIFORNIA,93312,661-588-6065,Multi-Site Child,229,Yes
0013u00001nE44sAAC,Rosedale Union School District - Rosedale North,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),,Bakersfield,CALIFORNIA,93312,661-588-6040,Multi-Site Child,116,Yes
0013u00001lMS2fAAG,Rosedale Union School District - Summer Camp,Active Premium Customer,SaaS and Billing Activated,Premium,$133.33,Yes,Name (District),ruesd.net,Bakersfield,California,93312,(661) 588-6000,Multi-Site Parent,1,Yes
0013u00001oSXjBAAW,Rosedale Union School District [sandbox account],Active Premium Customer,Onboarding,Premium,$133.33,Yes,Name (District),ruesd.net,Bakersfield,CA,93312,(661) 588-6000,,,
0011I00000YIfA5QAL,Crowley ISD Employee Child Development Center.,Active Premium Customer,SaaS Only Activated,Premium,,No,Website,http://www.crowley.k12.tx.us/domain/862,Crowley,Texas,76123,1+(817) 297-5216,Single-Site,130,
001Rd00000CHW4lIAH,MVESC: New Lexington School District,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Name (District),,,,,,Multi-Site Child,126,Yes
0013u00001ea4sPAAQ,ISD 547,Active Premium Customer,SaaS and Billing Activated,Premium,$135.00,No,Website,pp.k12.mn.us,Lowry,Minnesota,56349,3208154906,Single-Site,125,Yes
0013u00001MaZDRAA3,Harmony Hill,Active Premium Customer,SaaS and Billing Activated,Premium,$125.00,Yes,Website,madison.k12.al.us,Huntingdon,Tennessee,38344,2565091540,Single-Site,69,Yes
001Rd000009Tk3tIAC,Greenfield-Central Community School Corporation - East,Active Premium Customer,SaaS and Billing Activated,Premium,$20.50,No,"Website, Contact Email",gcsc.k12.in.us,Indianapolis,Indiana,46204,3174624412,Multi-Site Parent,125,Yes
0011I00000x5gFNQAY,Random Lake School District Ram Child Care,Active Premium Customer,SaaS and Billing Activated,Premium,$117.08,Yes,"Website, Name (District)",randomlake.k12.wi.us,Random Lake,Wisconsin,53075-1646,(920) 994-4344,Single-Site,147,Yes
001Rd00000CHW4kIAH,MVESC: Northern Local School District,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Name (District),,,,,,Multi-Site Child,125,Yes
0013u00001bNfzTAAS,Little Yellow Jacket Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$116.08,Yes,"Website, Contact Email",ses.k12.in.us,,Indiana,,(765) 763-6648,Single-Site,51,Yes
0013u00001OH5DWAA1,Early Learners Program,Active Premium Customer,SaaS and Billing Activated,Premium,$229.58,No,Contact Email,http://www.boynecountrykids.com/,Boyne City,Michigan,49712,231-439-8178,Single-Site,124,Yes
0013u00001G7f1AAAR,central lake Trojan Care,Active Premium Customer,SaaS and Billing Activated,Premium,$50.00,No,"Website, Contact Email",clps.k12.mi.us,CENTRAL LAKE,Michigan,49622,231 544 5221,Single-Site,123,Yes
0011I00000EFmSPQA1,Northview Elementary School,Active Premium Customer,SaaS and Billing Activated,Premium,$25.00,No,Website,hgsd.k12.wi.us,HOWARDS GROVE,WI,53083,#ERROR!,Single-Site,122,Yes
0013u000015wVzpAAE,Dellwood Child Care Center,Active Premium Customer,SaaS and Billing Activated,Premium,$160.00,No,"Website, Contact Email",clintonville.k12.wi.us,Clintonville,Wisconsin,54929-1001,7158237215,Single-Site,120,Yes
0013u00001fa012AAA,[Little Paws] Central Springs Comm. School District,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Name (District),,Nora Springs,IA,50456,6414542211,Multi-Site Parent,119,Yes
0013u00001MHRa7AAH,Floyd L Knight School-The Children's Center,Active Premium Customer,SaaS Only Activated,Inactive,$108.33,No,"Website, Contact Email",lee.k12.nc.us,Sanford,North Carolina,27330,(919) 774-4634,Single-Site,63,
001Rd00000HIf6AIAT,The Nest at Butternut Crossing,Active Premium Customer,SaaS and Billing Activated,Premium,$58.92,No,"Website, Contact Email",lucksd.k12.wi.us,Luck,Wisconsin,54853,#ERROR!,Single-Site,115,Yes
0013u00001J0ZEOAA3,CES School Readiness,Active Premium Customer,SaaS and Billing Activated,Premium,$150.00,No,Website,https://www.ces.k12.ct.us/page.cfm?p=3450,Trumbull,Connecticut,06611-4749,2033658996,Single-Site,111,Yes
0013u00001P5oJ9AAJ,Manchester Early Childhood Center,Active Premium Customer,SaaS and Billing Activated,Premium,$14.17,No,"Website, Contact Email",mcs.k12.mi.us,Manchester,Michigan,48158,(734) 428-9711,Single-Site,111,Yes
0013u00001DGu78AAD,Woodbine Latchkey Program,Active Premium Customer,SaaS and Billing Activated,Premium,$115.00,No,Contact Email,wiltoniowa.org,Woodbine,Iowa,51579,(712) 647-2440,Single-Site,108,Yes
0013u00001e5oExAAI,Montessori Peaks Academy Before and After School,Active Premium Customer,SaaS and Billing Activated,Premium,$90.00,No,Website,jeffco.k12.co.us,Littleton,Colorado,80120,(217) 259-8625,Multi-Site Parent,108,Yes
0011I00000EFm15QAD,Glencoe Park District Children's Circle,Active Premium Customer,SaaS Only Activated,Premium,$165.00,No,Name (District),glencoeparkdistrict.com,GLENCOE,IL,60022,#ERROR!,Single-Site,105,
0013u00001rW5TMAA0,Overland Elementary Early Childhood Education Program,Active Premium Customer,SaaS and Billing Activated,Premium,$110.25,No,"Website, Contact Email",sw1.k12.wy.us,Rock Springs,Wyoming,82901,307-352-3430,Single-Site,105,Yes
001PB00000XcPgkYAF,Lake Mills Area School District,Active Premium Customer,SaaS and Billing Activated,Premium,$129.00,No,"Website, Contact Email, Name (District)",lakemills.k12.wi.us,Lake Mills,Wisconsin,53551,(920) 648-2355,Single-Site,104,Yes
001Rd0000068YZ1IAM,Broad View Park District,Active Premium Customer,SaaS and Billing Activated,Premium,$50.00,No,Name (District),,Broadview,ILLINOIS,60155,7083435637,Single-Site,104,Yes
001PB00000Qlo5gYAB,Little Raiders Childcare Center,Active Premium Customer,SaaS and Billing Activated,Premium,$98.00,Yes,Website,arcadia.k12.wi.us,,Wisconsin,,608-409-2478,Multi-Site Parent,122,Yes
0013u00001eZTXEAA4,Ansonia Preschool at Ansonia Local Schools,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Website,http://www.ansonia.k12.oh.us/pre-school_home.aspx,Ansonia,Ohio,45303,(937) 337-5141,Single-Site,103,Yes
0013u0000189P1uAAE,Mammoth Unified School District,Active Premium Customer,SaaS Only Activated,Premium,$129.00,No,Name (District),imaca.net,MAMMOTH LAKES,California,93546,7608733001,Single-Site,102,
0013u000016qywmAAA,Tuckerman & Swifton ABC Preschools,Active Premium Customer,SaaS and Billing Activated,Premium,$95.00,No,"Website, Contact Email",bulldogs.k12.ar.us,Tuckerman,ARKANSAS,72473,#ERROR!,Multi-Site Parent,101,Yes
0013u00001F39waAAB,Early Learning Center,Active Premium Customer,SaaS and Billing Activated,Premium,$99.54,No,"Website, Contact Email",egreene.k12.in.us,,Indiana,,8128255623 ext 1020,Multi-Site Parent,100,Yes
0013u00001MHDSYAA5,Wausaukee Little Learners,Active Premium Customer,SaaS and Billing Activated,Premium,$89.08,Yes,"Website, Contact Email",wausaukee.k12.wi.us,Wausaukee,Wisconsin,54177,(715) 856-5153,Single-Site,41,Yes
0013u00001MHTPMAA5,Little Jags Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$22.50,No,"Website, Contact Email",hsd.k12.or.us,Hillsboro,Oregon,97123,503-844-1800,Single-Site,100,Yes
001Rd000001cUeXIAU,Eagle Care Club - Unity School District,Active Premium Customer,Billing Only Activated,Premium,$87.50,No,"Website, Contact Email, Name (District)",unity.k12.wi.us,Balsam Lake,WISCONSIN,54810,7158252101,Multi-Site Child,35,Yes
0013u00001QYwGBAA1,Scott County School District 2,Active Premium Customer,SaaS Only Activated,Premium,$0.10,No,"Website, Contact Email, Name (District)",scsd2.k12.in.us,Scottsburg,Indiana,47170,8127528953,Multi-Site Parent,100,
0013u00001TYJ9fAAH,Bozeman Montessori,Active Premium Customer,SaaS and Billing Activated,Premium,$195.00,No,Website,https://www.gfps.k12.mt.us/content/hands-program,Great Falls,Montana,59405,4066008098,Multi-Site Parent,98,Yes
001Rd0000077pL9IAI,Little Falls Community Services,Active Premium Customer,SaaS Only Activated,Premium,$134.08,No,Contact Email,https://www.facebook.com/LFCommunityServices/,Little Falls,Minnesota,56345,(320) 632-7901,Single-Site,98,
001Rd0000065BVdIAM,San Mateo-Foster City School District,Active Premium Customer,Onboarding,Premium,$83.33,No,"Contact Email, Name (District)",http://parkside.smfcsd.net/,San Mateo,California,94403,(650)312-7205,Multi-Site Parent,134,
001PB00000UixxZYAR,Jesup BS/AS,Customer (Non-Premium),SaaS Only Activated,Premium,,No,"Website, Contact Email",jesup.k12.ia.us,,Iowa,,319-231-1700,Single-Site,98,Yes
0013u00001RRVyeAAH,Lincoln School of Early Learning,Active Premium Customer,SaaS and Billing Activated,Premium,$80.00,No,"Website, Contact Email",http://www.coquille.k12.or.us/linkpages/lincolnhome.html,Coquille,Oregon,97423-1400,5413962811,Single-Site,96,Yes
001Rd0000039hwrIAA,Discovery Kids ISD 777,Active Premium Customer,SaaS and Billing Activated,Premium,$157.50,No,"Website, Contact Email",benson.k12.mn.us,Benson,Minnesota,56215,(320) 842-2723,Single-Site,94,Yes
0011I00000N5SifQAF,Kids Korner,Active Premium Customer,SaaS and Billing Activated,Premium,$153.00,No,Contact Email,https://www.facebook.com/100063511512824/about/,Kansas City,Illinois,63028,(636) 209-8491,Multi-Site Child,94,Yes
0013u00001YZjUEAA1,Heber Springs Elementary Panther Cubhouse,Active Premium Customer,SaaS Only Activated,Premium,$79.00,Yes,Website,hssd.k12.ar.us,Heber Springs,Arkansas,72543,(501) 362-7580,Single-Site,94,
001Rd00000AzGWlIAN,Kids Corner,Active Premium Customer,SaaS Only Activated,Premium,$79.00,Yes,"Website, Contact Email",medford.k12.ma.us,Medford,Massachusetts,2155,7818661176,Single-Site,82,
001Rd000001cNAUIA2,Before and After School Child Care Program,Active Premium Customer,SaaS and Billing Activated,Premium,$190.00,No,"Website, Contact Email",http://www.bonduel.k12.wi.us/elem/,Bonduel,WISCONSIN,54107,715-758-4850,Single-Site,92,Yes
001Rd000009rhT3IAI,Bidwell,Active Premium Customer,SaaS Only Activated,Premium,$136.00,No,Website,http://www.tcde.tehama.k12.ca.us/redbluffjuhsd.html,Red Bluff,California,96080,5305298987,Multi-Site Child,92,No
001PB00000JrYDVYA3,Garfield Elementary School,Active Premium Customer,SaaS and Billing Activated,Premium,$149.00,No,Website,http://www.humboldt.k12.ca.us/garfield_sd/,Eureka,California,95503,(707) 442-5471,Single-Site,90,Yes
001Rd00000H9ka4IAB,Roosevelt Elementary School,Active Premium Customer,Onboarding,Premium,$79.00,No,Website,https://www.elkhart.k12.in.us/schools/header-early-learning/pace,Elkhart,Indiana,46515,574-295-4820,Single-Site,127,
001Rd000003gbhVIAQ,Valley of Enchantment Elementary ELOP,Active Premium Customer,SaaS Only Activated,Premium,$135.00,No,Contact Email,http://hs.sbcounty.gov/psd,Running Springs,CALIFORNIA,92382,(909)589-0396,Multi-Site Parent,90,
001Rd00000HFWNaIAP,Clackamas CCR&R,Active Premium Customer,Onboarding,Premium,$75.00,No,"Website, Contact Email",clackesd.k12.or.us,,Oregon,,5036754103,Non-Target,,
001PB00000QL6pqYAD,Cosumnes Community Services District,Active Premium Customer,SaaS Only Activated,Premium,$79.00,No,Name (District),cosumnescsd.gov,Elk Grove,California,95758,(916) 871-9373,Single-Site,86,
001Rd000005doyAIAQ,Prairie Farm Cub Care,Active Premium Customer,SaaS Only Activated,Premium,$75.00,Yes,"Website, Contact Email",prairiefarm.k12.wi.us,Turtle Lake,Wisconsin,54889,715-418-3001,Single-Site,37,
0013u00001JvkGwAAJ,TPS Little Paws Learning Center,Active Premium Customer,SaaS and Billing Activated,Premium,$75.00,Yes,Website,taloga.k12.ok.us,,Oklahoma,,5803285586,Single-Site,11,Yes
001PB00000HikIHYAZ,El Dorado Hills Community Services District - Location 2,Active Premium Customer,SaaS Only Activated,Premium,$49.00,No,Name (District),,,,,,Multi-Site Child,85,
001PB00000YanWUYAZ,Cleveland County School District Head Start Woodlawn Center,Active Premium Customer,SaaS Only Activated,Premium,$346.56,No,Name (District),https://ccsdheadstart.org/,Rison,Arkansas,71665,870-325-6342,Multi-Site Parent,81,
001Rd000003gbhWIAQ,Lake Arrowhead Elementary ELOP,Active Premium Customer,SaaS Only Activated,Premium,$135.00,No,Contact Email,https://www.facebook.com/ROWUSD/,Lake Arrowhead,CALIFORNIA,92352,(909)336-0387,Multi-Site Child,81,
0013u00001HOrLkAAL,Benzie Early Childhood Programs - Frankfurt Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$90.00,No,"Website, Contact Email",https://www.frankfort.k12.mi.us/elementary,Frankfort,Michigan,49635,(231)352-7601,Multi-Site Child,80,Yes
001Rd000004HIUVIA4,Plato Daycare,Active Premium Customer,SaaS and Billing Activated,Premium,$70.00,Yes,"Website, Contact Email",plato.k12.mo.us,Plato,Missouri,65552,417-458-3333 x211,Single-Site,44,Yes
0013u00001IEznRAAT,East Palestine Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$75.00,No,Contact Email,myepschools.org,,Ohio,,13304263307,Single-Site,79,Yes
001Rd00000ABAzCIAX,Sycamore School District - Oscar North,Active Premium Customer,SaaS Only Activated,Premium,$55.56,No,Name (District),,,,,,Non-Target,79,
001PB00000ay1EGYAY,Mercer School District,Active Premium Customer,Onboarding,Premium,$69.00,No,Name (District),riversedgemw.com,Mercer,Wisconsin,54547,(715) 388-8274,Single-Site,19,
001Rd00000ABAzDIAX,Sycamore School District - Oscar West,Active Premium Customer,SaaS Only Activated,Premium,$55.56,No,Name (District),,,,,,Non-Target,79,
001PB00000INwVaYAL,Scribbles Learning Center,Active Premium Customer,Onboarding,Premium,$69.00,Yes,Website,easton.k12.ma.us,,Massachusetts,,(774) 406-6576,Single-Site,,
001PB00000KnUSuYAN,THE TEACHING TRAIN ~3T's,Active Premium Customer,Onboarding,Premium,$69.00,Yes,Website,nps.k12.nj.us,,New Jersey,,(201) 563-3891,Single-Site,,
001Rd00000ABAzBIAX,Sycamore School District -Oscar North Grove,Active Premium Customer,SaaS Only Activated,Premium,$55.56,No,Name (District),,,,,,Non-Target,79,
0011I00000QNSGbQAP,Menlo Park City School District Early Learning Center,Active Premium Customer,SaaS and Billing Activated,Premium,$155.00,No,Name (District),mpcsd.org,San Jose,California,94027,650-321-7140 x 8900,Single-Site,78,Yes
0013u00001RQeSSAA1,Vernon Hills Park District,Active Premium Customer,SaaS Only Activated,Premium,$112.50,No,Name (District),vhparkdistrict.org,Vernon Hills,Texas,60061-1834,8479966939,Multi-Site Parent,77,
001Rd000006Y2OvIAK,Tri-Center Community Schools,Active Premium Customer,SaaS and Billing Activated,Premium,$192.08,No,Website,http://www.tri-center.k12.ia.us,Neola,Iowa,51559,712-485-2211,Single-Site,76,Yes
001PB00000OsFIvYAN,Norridge Park District Early Care,Active Premium Customer,SaaS and Billing Activated,Premium,$79.00,No,Name (District),norridgepk.com,Norridge,Illinois,60706,708-453-2141,Single-Site,76,Yes
0013u00001fGoI4AAK,Iowa-St. Joseph Community Preschool,Customer (Non-Premium),SaaS Only Activated,Premium,,No,"Website, Contact Email",stjoseph-nh.pvt.k12.ia.us,Harlan,Iowa,51537,16415210084,Single-Site,76,
0013u00001OElfJAAT,Bethlehem Area School District Child Care Program,Active Premium Customer,Onboarding,Premium,$63.75,No,Name (District),https://jaindl.parklandsd.org/,ALLENTOWN,Pennsylvania,18102,6108688501 x39901,Government Payer,1,
0011I00001CoTI3QAN,South Lawrence East Enrichment Program,Inactive Prospect,SaaS Only Activated,Free,,No,Contact Email,http://www.thecommunitygroupinc.org,Lawrence,Massachusetts,1841,978-802-4881,Non-Target,76,
0013u00001UeCd3AAF,Donegan Child Care,Active Premium Customer,SaaS and Billing Activated,Inactive,$63.75,No,Website,https://basdwpweb.beth.k12.pa.us/fountainhill/,Bethlehem,Pennsylvania,18015,4847193544,Multi-Site Child,13,Yes
0013u00001QaXRKAA3,Adams Central Elementary School,Active Premium Customer,SaaS and Billing Activated,Premium,$103.54,No,"Website, Contact Email",accs.k12.in.us,,Indiana,,112606926629,Multi-Site Parent,74,Yes
001Rd00000ABAzEIAX,Sycamore School District -Oscar South Prairie,Active Premium Customer,SaaS Only Activated,Premium,$55.56,No,Name (District),,,,,,Non-Target,74,
0013u00001lJLPsAAO,Just Kids,Active Premium Customer,SaaS and Billing Activated,Premium,$39.51,No,Website,http://zane.collingswood.k12.nj.us/,Collingswood,NEW JERSEY,8004,(856) 768-8190,Enterprise,74,Yes
